Second,CH1,CH2
+9.600000E-08,-2.000004E-02,-4.000000E-03
+9.800000E-08,-2.000004E-02,-4.000000E-03
+1.000000E-07,-2.000004E-02,-4.000000E-03
+1.020000E-07,-2.000004E-02,-4.000000E-03
+1.040000E-07,-2.000004E-02,-4.000000E-03
+1.060000E-07,-2.000004E-02,-4.000000E-03
+1.080000E-07,-2.000004E-02,-4.000000E-03
+1.100000E-07,+2.000004E-02,-4.000000E-03
+1.120000E-07,-2.000004E-02,-6.000000E-03
+1.140000E-07,-2.000004E-02,-6.000000E-03
+1.160000E-07,-2.000004E-02,-6.000000E-03
+1.180000E-07,-2.000004E-02,-6.000000E-03
+1.200000E-07,-2.000004E-02,-6.000000E-03
+1.220000E-07,-2.000004E-02,-6.000000E-03
+1.240000E-07,-2.000004E-02,-6.000000E-03
+1.260000E-07,-2.000004E-02,-6.000000E-03
+1.280000E-07,-2.000004E-02,-6.000000E-03
+1.300000E-07,-2.000004E-02,-4.000000E-03
+1.320000E-07,-6.000012E-02,-6.000000E-03
+1.340000E-07,-6.000012E-02,-6.000000E-03
+1.360000E-07,-6.000012E-02,-6.000000E-03
+1.380000E-07,-6.000012E-02,-6.000000E-03
+1.400000E-07,-6.000012E-02,-7.999999E-03
+1.420000E-07,-6.000012E-02,-7.999999E-03
+1.440000E-07,-6.000012E-02,-7.999999E-03
+1.460000E-07,-6.000012E-02,-7.999999E-03
+1.480000E-07,-6.000012E-02,-7.999999E-03
+1.500000E-07,-2.000004E-02,-7.999999E-03
+1.520000E-07,-2.000004E-02,-1.000000E-02
+1.540000E-07,-2.000004E-02,-1.000000E-02
+1.560000E-07,-2.000004E-02,-1.000000E-02
+1.580000E-07,-2.000004E-02,-1.000000E-02
+1.600000E-07,-2.000004E-02,-1.000000E-02
+1.620000E-07,-2.000004E-02,-1.000000E-02
+1.640000E-07,-2.000004E-02,-1.000000E-02
+1.660000E-07,-2.000004E-02,-7.999999E-03
+1.680000E-07,+2.000004E-02,-7.999999E-03
+1.700000E-07,+2.000004E-02,-6.000000E-03
+1.720000E-07,-2.000004E-02,-6.000000E-03
+1.740000E-07,-2.000004E-02,-6.000000E-03
+1.760000E-07,-2.000004E-02,-6.000000E-03
+1.780000E-07,-2.000004E-02,-6.000000E-03
+1.800000E-07,-2.000004E-02,-6.000000E-03
+1.820000E-07,-6.000012E-02,-4.000000E-03
+1.840000E-07,-6.000012E-02,-4.000000E-03
+1.860000E-07,-6.000012E-02,-4.000000E-03
+1.880000E-07,-6.000012E-02,-4.000000E-03
+1.900000E-07,-2.000004E-02,-4.000000E-03
+1.920000E-07,-2.000004E-02,-6.000000E-03
+1.940000E-07,-2.000004E-02,-6.000000E-03
+1.960000E-07,-2.000004E-02,-7.999999E-03
+1.980000E-07,-2.000004E-02,-7.999999E-03
+2.000000E-07,-2.000004E-02,-7.999999E-03
+2.020000E-07,-2.000004E-02,-7.999999E-03
+2.040000E-07,-2.000004E-02,-7.999999E-03
+2.060000E-07,-2.000004E-02,-7.999999E-03
+2.080000E-07,-2.000004E-02,-7.999999E-03
+2.100000E-07,+2.000004E-02,-6.000000E-03
+2.120000E-07,-2.000004E-02,-6.000000E-03
+2.140000E-07,-2.000004E-02,-6.000000E-03
+2.160000E-07,-2.000004E-02,-6.000000E-03
+2.180000E-07,-2.000004E-02,-6.000000E-03
+2.200000E-07,-2.000004E-02,-4.000000E-03
+2.220000E-07,-2.000004E-02,-4.000000E-03
+2.240000E-07,-6.000012E-02,-4.000000E-03
+2.260000E-07,-6.000012E-02,-4.000000E-03
+2.280000E-07,-6.000012E-02,-2.000000E-03
+2.300000E-07,-2.000004E-02,-2.000000E-03
+2.320000E-07,-2.000004E-02,-4.000000E-03
+2.340000E-07,-2.000004E-02,-4.000000E-03
+2.360000E-07,-2.000004E-02,-6.000000E-03
+2.380000E-07,-2.000004E-02,-6.000000E-03
+2.400000E-07,-2.000004E-02,-7.999999E-03
+2.420000E-07,+2.000004E-02,-7.999999E-03
+2.440000E-07,+2.000004E-02,-7.999999E-03
+2.460000E-07,+2.000004E-02,-7.999999E-03
+2.480000E-07,+2.000004E-02,-1.000000E-02
+2.500000E-07,+5.999982E-02,-7.999999E-03
+2.520000E-07,+2.000004E-02,-1.000000E-02
+2.540000E-07,+2.000004E-02,-1.000000E-02
+2.560000E-07,+2.000004E-02,-7.999999E-03
+2.580000E-07,+2.000004E-02,-7.999999E-03
+2.600000E-07,+2.000004E-02,-7.999999E-03
+2.620000E-07,-2.000004E-02,-7.999999E-03
+2.640000E-07,-2.000004E-02,-6.000000E-03
+2.660000E-07,-2.000004E-02,-6.000000E-03
+2.680000E-07,-2.000004E-02,-6.000000E-03
+2.700000E-07,-2.000004E-02,-4.000000E-03
+2.720000E-07,-6.000012E-02,-6.000000E-03
+2.740000E-07,-6.000012E-02,-6.000000E-03
+2.760000E-07,-6.000012E-02,-6.000000E-03
+2.780000E-07,-6.000012E-02,-7.999999E-03
+2.800000E-07,-6.000012E-02,-7.999999E-03
+2.820000E-07,-6.000012E-02,-7.999999E-03
+2.840000E-07,-6.000012E-02,-1.000000E-02
+2.860000E-07,-6.000012E-02,-1.000000E-02
+2.880000E-07,-6.000012E-02,-1.000000E-02
+2.900000E-07,-2.000004E-02,-1.000000E-02
+2.920000E-07,-2.000004E-02,-1.200000E-02
+2.940000E-07,-2.000004E-02,-1.200000E-02
+2.960000E-07,-2.000004E-02,-1.200000E-02
+2.980000E-07,-2.000004E-02,-1.200000E-02
+3.000000E-07,-2.000004E-02,-1.200000E-02
+3.020000E-07,-2.000004E-02,-1.000000E-02
+3.040000E-07,-2.000004E-02,-1.000000E-02
+3.060000E-07,-2.000004E-02,-7.999999E-03
+3.080000E-07,-2.000004E-02,-7.999999E-03
+3.100000E-07,+2.000004E-02,-6.000000E-03
+3.120000E-07,+2.000004E-02,-6.000000E-03
+3.140000E-07,+2.000004E-02,-6.000000E-03
+3.160000E-07,+2.000004E-02,-6.000000E-03
+3.180000E-07,+2.000004E-02,-6.000000E-03
+3.200000E-07,+2.000004E-02,-6.000000E-03
+3.220000E-07,+2.000004E-02,-6.000000E-03
+3.240000E-07,+2.000004E-02,-6.000000E-03
+3.260000E-07,+2.000004E-02,-6.000000E-03
+3.280000E-07,+2.000004E-02,-6.000000E-03
+3.300000E-07,+5.999982E-02,-6.000000E-03
+3.320000E-07,+2.000004E-02,-7.999999E-03
+3.340000E-07,+2.000004E-02,-7.999999E-03
+3.360000E-07,+2.000004E-02,-7.999999E-03
+3.380000E-07,+2.000004E-02,-1.000000E-02
+3.400000E-07,-2.000004E-02,-1.000000E-02
+3.420000E-07,-2.000004E-02,-1.000000E-02
+3.440000E-07,-2.000004E-02,-1.000000E-02
+3.460000E-07,-2.000004E-02,-1.000000E-02
+3.480000E-07,-2.000004E-02,-1.000000E-02
+3.500000E-07,-2.000004E-02,-7.999999E-03
+3.520000E-07,-6.000012E-02,-1.000000E-02
+3.540000E-07,-6.000012E-02,-1.000000E-02
+3.560000E-07,-6.000012E-02,-1.000000E-02
+3.580000E-07,-6.000012E-02,-1.000000E-02
+3.600000E-07,-6.000012E-02,-1.000000E-02
+3.620000E-07,-6.000012E-02,-7.999999E-03
+3.640000E-07,-6.000012E-02,-7.999999E-03
+3.660000E-07,-6.000012E-02,-7.999999E-03
+3.680000E-07,-6.000012E-02,-7.999999E-03
+3.700000E-07,-2.000004E-02,-6.000000E-03
+3.720000E-07,-2.000004E-02,-6.000000E-03
+3.740000E-07,-2.000004E-02,-6.000000E-03
+3.760000E-07,-2.000004E-02,-6.000000E-03
+3.780000E-07,-6.000012E-02,-6.000000E-03
+3.800000E-07,-6.000012E-02,-6.000000E-03
+3.820000E-07,-6.000012E-02,-6.000000E-03
+3.840000E-07,-6.000012E-02,-6.000000E-03
+3.860000E-07,-6.000012E-02,-6.000000E-03
+3.880000E-07,-6.000012E-02,-6.000000E-03
+3.900000E-07,-2.000004E-02,-6.000000E-03
+3.920000E-07,-6.000012E-02,-7.999999E-03
